time,position,velocity,energy
0.01, 1.58, 0.9843, 3.46525
0.02, 1.58984, 0.9685, 3.46559
0.03, 1.59953, 0.952602, 3.46594
0.04, 1.60905, 0.936606, 3.46629
0.05, 1.61842, 0.920516, 3.46663
0.06, 1.62763, 0.904332, 3.46698
0.07, 1.63667, 0.888055, 3.46733
0.08, 1.64555, 0.871689, 3.46767
0.09, 1.65427, 0.855233, 3.46802
0.1, 1.66282, 0.83869, 3.46837
0.11, 1.67121, 0.822062, 3.46871
0.12, 1.67943, 0.80535, 3.46906
0.13, 1.68748, 0.788556, 3.46941
0.14, 1.69536, 0.771681, 3.46975
0.15, 1.70308, 0.754728, 3.4701
0.16, 1.71063, 0.737697, 3.47045
0.17, 1.71801, 0.72059, 3.4708
0.18, 1.72521, 0.70341, 3.47114
0.19, 1.73225, 0.686158, 3.47149
0.2, 1.73911, 0.668836, 3.47184
0.21, 1.7458, 0.651445, 3.47218
0.22, 1.75231, 0.633987, 3.47253
0.23, 1.75865, 0.616464, 3.47288
0.24, 1.76481, 0.598877, 3.47323
0.25, 1.7708, 0.581229, 3.47357
0.26, 1.77662, 0.563521, 3.47392
0.27, 1.78225, 0.545755, 3.47427
0.28, 1.78771, 0.527932, 3.47461
0.29, 1.79299, 0.510055, 3.47496
0.3, 1.79809, 0.492125, 3.47531
0.31, 1.80301, 0.474144, 3.47566
0.32, 1.80775, 0.456114, 3.476
0.33, 1.81231, 0.438037, 3.47635
0.34, 1.81669, 0.419914, 3.4767
0.35, 1.82089, 0.401747, 3.47705
0.36, 1.82491, 0.383538, 3.4774
0.37, 1.82874, 0.365289, 3.47774
0.38, 1.8324, 0.347001, 3.47809
0.39, 1.83587, 0.328677, 3.47844
0.4, 1.83915, 0.310319, 3.47879
0.41, 1.84226, 0.291927, 3.47913
0.42, 1.84518, 0.273505, 3.47948
0.43, 1.84791, 0.255053, 3.47983
0.44, 1.85046, 0.236574, 3.48018
0.45, 1.85283, 0.218069, 3.48053
0.46, 1.85501, 0.199541, 3.48087
0.47, 1.857, 0.180991, 3.48122
0.48, 1.85881, 0.162421, 3.48157
0.49, 1.86044, 0.143832, 3.48192
0.5, 1.86188, 0.125228, 3.48227
0.51, 1.86313, 0.106609, 3.48262
0.52, 1.8642, 0.087978, 3.48296
0.53, 1.86507, 0.0693361, 3.48331
0.54, 1.86577, 0.0506853, 3.48366
0.55, 1.86628, 0.0320276, 3.48401
0.56, 1.8666, 0.0133649, 3.48436
0.57, 1.86673, -0.00530106, 3.48471
0.58, 1.86668, -0.0239684, 3.48505
0.59, 1.86644, -0.0426351, 3.4854
0.6, 1.86601, -0.0612995, 3.48575
0.61, 1.8654, -0.0799596, 3.4861
0.62, 1.8646, -0.0986135, 3.48645
0.63, 1.86361, -0.11726, 3.4868
0.64, 1.86244, -0.135896, 3.48715
0.65, 1.86108, -0.15452, 3.48749
0.66, 1.85953, -0.173131, 3.48784
0.67, 1.8578, -0.191726, 3.48819
0.68, 1.85589, -0.210304, 3.48854
0.69, 1.85378, -0.228863, 3.48889
0.7, 1.85149, -0.247401, 3.48924
0.71, 1.84902, -0.265916, 3.48959
0.72, 1.84636, -0.284406, 3.48994
0.73, 1.84352, -0.30287, 3.49029
0.74, 1.84049, -0.321305, 3.49063
0.75, 1.83728, -0.33971, 3.49098
0.76, 1.83388, -0.358082, 3.49133
0.77, 1.8303, -0.376421, 3.49168
0.78, 1.82653, -0.394724, 3.49203
0.79, 1.82259, -0.41299, 3.49238
0.8, 1.81846, -0.431215, 3.49273
0.81, 1.81414, -0.4494, 3.49308
0.82, 1.80965, -0.467541, 3.49343
0.83, 1.80497, -0.485638, 3.49378
0.84, 1.80012, -0.503688, 3.49413
0.85, 1.79508, -0.521689, 3.49448
0.86, 1.78986, -0.53964, 3.49483
0.87, 1.78447, -0.557538, 3.49517
0.88, 1.77889, -0.575383, 3.49552
0.89, 1.77314, -0.593172, 3.49587
0.9, 1.76721, -0.610903, 3.49622
0.91, 1.7611, -0.628575, 3.49657
0.92, 1.75481, -0.646186, 3.49692
0.93, 1.74835, -0.663734, 3.49727
0.94, 1.74171, -0.681218, 3.49762
0.95, 1.7349, -0.698635, 3.49797
0.96, 1.72791, -0.715984, 3.49832
