time, x_pos, y_pos, x_vel, y_vel, energy
0.05, 1, 0.05, -0.05, 1, -0.497502
0.1, 0.9975, 0.1, -0.0998131, 0.997509, -0.495012
0.15, 0.992509, 0.149875, -0.149316, 0.992547, -0.49253
0.2, 0.985044, 0.199503, -0.198386, 0.985137, -0.490056
0.25, 0.975124, 0.24876, -0.2469, 0.975311, -0.48759
0.3, 0.962779, 0.297525, -0.294738, 0.963107, -0.485133
0.35, 0.948042, 0.345681, -0.341782, 0.94857, -0.482684
0.4, 0.930953, 0.393109, -0.387913, 0.931749, -0.480245
0.45, 0.911558, 0.439696, -0.433019, 0.912702, -0.477816
0.5, 0.889907, 0.485332, -0.476986, 0.891494, -0.475398
0.55, 0.866057, 0.529906, -0.519708, 0.868195, -0.472991
0.6, 0.840072, 0.573316, -0.561082, 0.84288, -0.470596
0.65, 0.812018, 0.61546, -0.601007, 0.815633, -0.468214
0.7, 0.781968, 0.656242, -0.639389, 0.786541, -0.465847
0.75, 0.749998, 0.695569, -0.676141, 0.755698, -0.463495
0.8, 0.716191, 0.733354, -0.711179, 0.723203, -0.461158
0.85, 0.680632, 0.769514, -0.744426, 0.689159, -0.458839
0.9, 0.643411, 0.803972, -0.775813, 0.653673, -0.456539
0.95, 0.60462, 0.836655, -0.805277, 0.616857, -0.454258
1, 0.564356, 0.867498, -0.832762, 0.578825, -0.451997
1.05, 0.522718, 0.89644, -0.858219, 0.539694, -0.449758
1.1, 0.479807, 0.923424, -0.881608, 0.499583, -0.447542
1.15, 0.435727, 0.948403, -0.902896, 0.458612, -0.445349
1.2, 0.390582, 0.971334, -0.922058, 0.416903, -0.443182
1.25, 0.344479, 0.992179, -0.939077, 0.374578, -0.441041
1.3, 0.297525, 1.01091, -0.953944, 0.331758, -0.438926
1.35, 0.249828, 1.0275, -0.966657, 0.288564, -0.43684
1.4, 0.201495, 1.04192, -0.977222, 0.245114, -0.434783
1.45, 0.152634, 1.05418, -0.985651, 0.201524, -0.432755
1.5, 0.103352, 1.06426, -0.991966, 0.15791, -0.430758
1.55, 0.0537533, 1.07215, -0.996193, 0.114383, -0.428792
1.6, 0.00394363, 1.07787, -0.998366, 0.0710497, -0.426858
1.65, -0.0459746, 1.08142, -0.998523, 0.0280141, -0.424956
1.7, -0.0959008, 1.08282, -0.99671, -0.0146245, -0.423088
1.75, -0.145736, 1.08209, -0.992978, -0.0567713, -0.421253
1.8, -0.195385, 1.07925, -0.98738, -0.0983365, -0.419451
1.85, -0.244754, 1.07434, -0.979975, -0.139236, -0.417684
1.9, -0.293753, 1.06738, -0.970828, -0.179389, -0.41595
1.95, -0.342294, 1.05841, -0.960002, -0.218724, -0.414251
2, -0.390294, 1.04747, -0.947568, -0.257171, -0.412587
2.05, -0.437673, 1.03461, -0.933597, -0.294668, -0.410956
2.1, -0.484353, 1.01988, -0.91816, -0.331158, -0.40936
2.15, -0.530261, 1.00332, -0.901334, -0.366588, -0.407798
2.2, -0.575327, 0.984991, -0.883192, -0.400914, -0.40627
2.25, -0.619487, 0.964945, -0.863812, -0.434095, -0.404776
2.3, -0.662678, 0.94324, -0.843268, -0.466094, -0.403314
2.35, -0.704841, 0.919935, -0.821638, -0.496882, -0.401886
2.4, -0.745923, 0.895091, -0.798997, -0.526433, -0.40049
2.45, -0.785873, 0.86877, -0.775418, -0.554727, -0.399126
2.5, -0.824644, 0.841033, -0.750977, -0.581746, -0.397794
2.55, -0.862193, 0.811946, -0.725746, -0.607479, -0.396492
2.6, -0.89848, 0.781572, -0.699794, -0.631918, -0.395221
2.65, -0.93347, 0.749976, -0.673193, -0.655058, -0.39398
2.7, -0.967129, 0.717223, -0.646008, -0.676899, -0.392767
2.75, -0.99943, 0.683378, -0.618306, -0.697443, -0.391584
2.8, -1.03034, 0.648506, -0.590149, -0.716696, -0.390428
2.85, -1.05985, 0.612671, -0.561599, -0.734665, -0.3893
2.9, -1.08793, 0.575938, -0.532715, -0.751363, -0.388198
2.95, -1.11457, 0.53837, -0.503552, -0.766801, -0.387122
3, -1.13975, 0.50003, -0.474166, -0.780995, -0.386072
3.05, -1.16345, 0.46098, -0.444608, -0.793963, -0.385046
3.1, -1.18568, 0.421282, -0.414927, -0.805723, -0.384044
3.15, -1.20643, 0.380996, -0.38517, -0.816296, -0.383065
3.2, -1.22569, 0.340181, -0.355383, -0.825703, -0.382109
3.25, -1.24346, 0.298896, -0.325606, -0.833967, -0.381175
3.3, -1.25974, 0.257197, -0.295882, -0.841112, -0.380263
3.35, -1.27453, 0.215142, -0.266247, -0.847163, -0.37937
3.4, -1.28785, 0.172784, -0.236737, -0.852144, -0.378498
3.45, -1.29968, 0.130177, -0.207386, -0.856082, -0.377646
3.5, -1.31005, 0.0873724, -0.178226, -0.859003, -0.376812
3.55, -1.31896, 0.0444223, -0.149286, -0.860933, -0.375996
3.6, -1.32643, 0.00137568, -0.120593, -0.861899, -0.375198
3.65, -1.33246, -0.0417193, -0.0921748, -0.861929, -0.374417
3.7, -1.33707, -0.0848157, -0.0640541, -0.861048, -0.373653
3.75, -1.34027, -0.127868, -0.0362538, -0.859285, -0.372905
3.8, -1.34208, -0.170832, -0.00879488, -0.856665, -0.372172
3.85, -1.34252, -0.213666, 0.0183034, -0.853216, -0.371454
3.9, -1.34161, -0.256326, 0.0450232, -0.848963, -0.37075
3.95, -1.33935, -0.298775, 0.071348, -0.843933, -0.37006
4, -1.33579, -0.340971, 0.0972625, -0.838153, -0.369384
4.05, -1.33092, -0.382879, 0.122753, -0.831646, -0.368721
4.1, -1.32479, -0.424461, 0.147806, -0.824439, -0.368071
4.15, -1.3174, -0.465683, 0.172411, -0.816555, -0.367432
4.2, -1.30878, -0.506511, 0.196556, -0.80802, -0.366805
4.25, -1.29895, -0.546912, 0.220233, -0.798857, -0.36619
4.3, -1.28794, -0.586855, 0.243432, -0.789089, -0.365585
4.35, -1.27576, -0.626309, 0.266146, -0.77874, -0.364991
4.4, -1.26246, -0.665246, 0.288367, -0.767831, -0.364408
4.45, -1.24804, -0.703638, 0.310089, -0.756384, -0.363834
4.5, -1.23253, -0.741457, 0.331307, -0.744422, -0.363269
